,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,cluster_km,cluster_ag
95,0.345,0.745,0.18181818181818182,0.5647031858812742,0.0327,0.365,0.735,0.19,0.879,0.4865643438712845,Jessica,Allman Brothers Band,40,46
96,0.533,0.362,0.36363636363636365,0.3918863167545267,0.0244,0.478,0.245,0.0857,0.45,0.38437277114460117,Melissa,Allman Brothers Band,30,3
97,0.585,0.532,0.6363636363636364,0.6264955305982122,0.0268,0.209,0.00797,0.227,0.68,0.43748552691299475,Midnight Rider,Allman Brothers Band,18,6
98,0.46,0.903,0.8181818181818182,0.7919321567728625,0.0352,0.039,0.189,0.102,0.964,0.46803416111672025,No One to Run With,Allman Brothers Band,32,28
99,0.541,0.733,0.8181818181818182,0.6555122622049049,0.0491,0.576,0.0321,0.705,0.725,0.4943265498939412,One Way Out,Allman Brothers Band,19,9
100,0.349,0.692,0.09090909090909091,0.5339903735961493,0.0338,0.462,0.00266,0.197,0.952,0.8308524532461397,Ramblin' Man,Allman Brothers Band,28,29
101,0.565,0.797,0.6363636363636364,0.48040339216135686,0.0332,0.0854,0.026,0.175,0.688,0.5771172389518243,Southbound,Allman Brothers Band,18,6
102,0.488,0.721,0.18181818181818182,0.6508824203529681,0.0617,0.309,0.0482,0.437,0.786,0.5832769847812596,Statesboro Blues,Allman Brothers Band,44,15
103,0.315,0.64,0.36363636363636365,0.6456108182443272,0.0339,0.329,0.341,0.0879,0.583,0.4537278040737688,Whippin' Post,Allman Brothers Band,46,40
104,0.654,0.506,1.0,0.2823745129498052,0.0535,0.686,0.0155,0.155,0.831,0.5704897229503794,A Horse With No Name,America,8,49
105,0.441,0.547,0.36363636363636365,0.5096493238597295,0.0337,0.13,0.000143,0.109,0.716,0.624093405829991,Sister Golden Hair,America,17,20
106,0.673,0.581,0.18181818181818182,0.6021086408434563,0.029,0.223,0.000206,0.063,0.818,0.6056512194444187,Ventura Highway,America,31,42
107,0.504,0.655,0.4545454545454546,0.5078157231262892,0.0345,0.000321,0.000205,0.0904,0.365,0.5605646588056578,Don't Bring Me Down,Animals II,15,10
108,0.684,0.41,0.7272727272727273,0.2781572312628926,0.0315,0.0833,3.42e-05,0.0858,0.854,0.6083420557804352,Don't Let Me Be Misunderstood,Animals II,42,26
109,0.612,0.671,1.0,0.7682328672931469,0.0353,0.0456,7.45e-05,0.123,0.437,0.45604812938245076,Immigrant Song,Ann Wilson,20,12
110,0.451,0.973,0.8181818181818182,0.9041943616777446,0.1,0.0019,0.122,0.0893,0.652,0.6513676488296483,Roller,April Wine,20,12
111,0.502,0.488,0.6363636363636364,0.5076782030712812,0.0261,0.3,0.128,0.319,0.74,0.4134856751174057,Hold Your Head Up,Argent,8,9
112,0.558,0.744,0.36363636363636365,0.7127664451065779,0.037,0.569,0.000148,0.24,0.54,0.5972128307968767,Coming into Los Angeles,Arlo Guthrie,3,5
113,0.543,0.85,0.18181818181818182,0.6695851478340591,0.0345,0.231,0.0459,0.122,0.566,0.6012977148732389,Wayside,Artful Dodger,48,18
114,0.323,0.839,0.09090909090909091,0.7329818931927572,0.0503,0.315,0.000313,0.348,0.543,0.6309432284478367,Heat of the Moment,Asia,16,15
115,0.333,0.803,0.8181818181818182,0.6981893192757276,0.0714,0.143,2.61e-06,0.0524,0.323,0.5813318018877537,Only Time Will Tell,Asia,29,12
116,0.622,0.409,0.4545454545454546,0.45179922071968825,0.0362,0.65,0.023,0.142,0.785,0.39910058448114566,So Into You,Atlanta Rhythm Section,8,14
117,0.719,0.657,0.0,0.8928260371304148,0.0259,0.00952,0.0202,0.0875,0.896,0.4908437462369974,Spooky,Atlanta Rhythm Section,43,0
118,0.614,0.568,0.6363636363636364,0.818840247536099,0.0276,0.00797,0.0,0.0997,0.516,0.49949054733741516,Like a Stone,Audioslave,1,6
119,0.473,0.907,0.18181818181818182,0.8973183589273435,0.0892,0.00211,0.0113,0.148,0.394,0.6546883539121334,Blondes In Black Cars,Autograph,16,4
120,0.629,0.79,0.18181818181818182,0.45124914049965614,0.0429,0.0375,0.00034,0.13,0.428,0.510818921998166,Turn Up the Radio,Autograph,4,34
121,0.585,0.808,0.36363636363636365,0.6821453128581251,0.033,0.00587,0.000895,0.12,0.657,0.6522985577858261,Rock And Roll Party In The Streets,Axe,5,19
122,0.638,0.818,0.5454545454545454,0.6021544808617922,0.0376,0.107,0.00283,0.191,0.821,0.48337794903620823,Let It Ride,Bachman-Turner Overdrive,0,7
123,0.475,0.823,0.6363636363636364,0.5201008480403392,0.029,0.00333,0.00839,0.311,0.881,0.6436749136246167,Roll On Down The Highway,Bachman-Turner Overdrive,32,6
124,0.724,0.703,0.4545454545454546,0.4278248911299565,0.0498,0.0488,2.69e-06,0.146,0.965,0.6020109486008578,Takin' Care Of Business,Bachman-Turner Overdrive,17,7
125,0.475,0.439,1.0,0.38051799220719684,0.0427,0.000146,0.000277,0.223,0.76,0.5483192693522541,You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,18,6
126,0.545,0.467,0.7272727272727273,0.5719917487966995,0.0305,0.491,0.175,0.0805,0.444,0.5266490056410303,Bad Company,Bad Company,13,11
127,0.436,0.532,0.0,0.5763923905569561,0.0476,0.308,0.00395,0.208,0.845,0.8804870367454312,Burnin' Sky,Bad Company,28,29
128,0.638,0.686,0.0,0.6171900068760028,0.0366,0.314,0.23,0.0678,0.766,0.5837632805046361,Can't Get Enough,Bad Company,10,42
129,0.543,0.529,0.6363636363636364,0.6244785697914279,0.0301,0.326,0.00269,0.709,0.746,0.394251521410906,Feel Like Makin' Love,Bad Company,19,31
130,0.588,0.683,1.0,0.7562227824891129,0.0398,0.234,1.31e-05,0.249,0.596,0.5740790485276818,Gone Gone Gone,Bad Company,23,9
131,0.512,0.786,0.18181818181818182,0.7173504469401787,0.0493,0.03,0.00146,0.114,0.81,0.5951379690438037,Good Lovin' Gone Bad,Bad Company,43,43
132,0.636,0.818,0.0,0.6601421040568416,0.0354,0.528,0.0938,0.162,0.908,0.5447345751627933,Movin' On,Bad Company,10,42
133,0.566,0.521,0.6363636363636364,0.5278936511574605,0.0321,0.514,0.000288,0.116,0.468,0.598222473346363,Ready For Love,Bad Company,13,11
134,0.606,0.716,0.18181818181818182,0.819161127664451,0.0285,0.0261,5.82e-06,0.13,0.868,0.5201002232328941,Rock 'n' Roll Fantasy,Bad Company,43,43
135,0.681,0.623,0.8181818181818182,0.5967453586981435,0.0324,0.193,2.98e-06,0.0873,0.812,0.46073972526607326,Rock Steady,Bad Company,42,6
136,0.547,0.806,0.6363636363636364,0.6947054778821911,0.0299,0.0998,0.000715,0.162,0.76,0.5537518872905455,Run With The Pack,Bad Company,0,6
137,0.368,0.395,0.6363636363636364,0.4250744900297959,0.0296,0.458,3.66e-05,0.14,0.466,0.4703822747524523,Seagull,Bad Company,30,11
138,0.39,0.589,0.8181818181818182,0.6407059362823745,0.0384,0.258,3.91e-05,0.069,0.599,0.7692411007882622,Shooting Star,Bad Company,23,17
139,0.607,0.572,0.09090909090909091,0.6968599587439834,0.0274,0.604,3.53e-06,0.0915,0.744,0.5276447540269917,"Silver, Blue And Gold",Bad Company,21,42
140,0.495,0.609,0.6363636363636364,0.6159981663992665,0.0339,0.42,0.0,0.187,0.33,0.6283450198686539,When I See You Smile,Bad English,46,11
141,0.529,0.743,0.8181818181818182,0.8167316066926427,0.0481,0.177,0.0,0.0759,0.78,0.5410248335016071,No Matter What,Badfinger,22,28
142,0.513,0.848,0.8181818181818182,0.637726335090534,0.0315,0.00095,0.00862,0.251,0.475,0.4268333348771293,Walks Like A Woman,Baton Rouge,20,32
143,0.69,0.862,0.7272727272727273,0.875452670181068,0.0324,0.0394,0.000316,0.101,0.749,0.6181698607804814,(You Gotta) Fight for Your Right (To Party),Beastie Boys,32,47
144,0.712,0.691,0.7272727272727273,0.6959889983955994,0.128,0.122,0.0,0.0538,0.742,0.4493465111755389,No Sleep Till Brooklyn,Beastie Boys,22,6
145,0.654,0.611,0.18181818181818182,0.5908778363511344,0.119,0.0337,0.000178,0.405,0.786,0.39546031363758466,Loser,Beck,44,15
146,0.641,0.775,0.8181818181818182,0.77565895026358,0.0498,0.00184,0.177,0.0948,0.854,0.5843607295362129,In a Big Country,Big Country,22,28
147,0.445,0.731,0.8181818181818182,0.5636488654595461,0.333,0.859,0.31,0.775,0.951,0.8339601144879075,Rock Around the Clock,Bill Haley,19,9
148,0.479,0.416,0.36363636363636365,0.5449919779967911,0.124,0.457,1.72e-05,0.118,0.514,0.36862605248288705,AIN'T NO SUNSHINE,Bill Withers,30,14
149,0.612,0.942,0.2727272727272727,0.8595920238368094,0.0399,0.0163,3.9e-06,0.0909,0.622,0.6670958419399958,Cradle of Love,Billy Idol,5,19
150,0.387,0.886,0.36363636363636365,0.7498968599587439,0.0617,5.83e-05,0.275,0.219,0.757,0.8170972313563483,Dancing With Myself,Billy Idol,5,19
151,0.391,0.815,0.8181818181818182,0.7858354343341736,0.0518,0.0177,0.00226,0.276,0.647,0.3908104002445373,Eyes Without a Face,Billy Idol,20,12
